season,main_colours,additional_colours,main_sponsors,additional_major_sponsors,notes,team,non-tobacco_liveries,special_liveries,livery_sponsors,non-tobacco_alcohol_livery_changes,drivers,other_informations_including_non-tobacco_alcohol_race_changes,other_information,non_tobacco_alcohol_changess,additional_major_sponsors___notes,livery_principal_sponsors,non-tobacco_alcohol_livery_changes_location-specific_livery_changes_2011-present,non-tobacco_alcohol_livery_changess,non-tobacco_alcohol_and_other_livery_changes,other_changes
"[{'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}]",['Black'],"['Red', 'White', 'Orange']",['Repsol'],"['T-Minus', 'PIAA Corporation', 'Zepter', 'Morgan Grenfell', 'Power Horse', 'Catia Solutions', 'F1 Racing', 'Ixion', 'Glasurit Car Paint', 'Champion']",,Arrows,,,,,,,,,,,,,,
"[{'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}]",['Orange'],['Black'],['Orange'],"['Red Bull', 'Chello', 'Lost Boys', 'Repsol YPF (2000)', 'Eurobet (2000)', 'Cartoon Network (2000)', 'Catia Solutions', 'Paul Costelloe (2001)', 'Magneti Marelli (2000)', 'European Aviation (2000)']",,Arrows,,,,,,,,,,,,,,
"[{'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}]",['British racing green'],[],[],[],,Aston Martin,,,,,,,,,,,,,,
"[{'year': 2021, 'url': 'https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship'}]",['British racing green'],['Magenta'],"['Aston Martin', 'Cognizant']","['BWT', 'Peroni Brewery', 'Alpinestars', 'Pirelli', 'JCB', 'IFS', 'NetApp', 'SentinelOne', 'Bombardier', 'Crypto.com', 'Epos', 'Aqua Mondo', 'Ravenol', 'TikTok']",,Aston Martin,,,,,,,,,,,,,,
"[{'year': 2022, 'url': 'https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship'}, {'year': 2023, 'url': 'https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship'}, {'year': 2024, 'url': 'https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship'}, {'year': 2025, 'url': 'https://en.wikipedia.org/wiki/2025_Formula_One_World_Championship'}]",['British racing green'],"['Lime green', 'Black', 'White (2025)']","['Aramco', 'Cognizant (2022-2023)']","['Aston Martin ( DBX707 (2023-2024)', 'Vantage (2024)', 'Vanquish (2024)', 'Valhalla (2025))', 'Peroni Brewery (2022-2023)', 'Alpinestars (2022)', 'Pirelli', 'JCB', 'IFS (2022)', 'NetApp', 'SentinelOne', 'Bombardier', 'Crypto.com (2022-2023)', 'Epos', 'Juniper Networks', 'Oakley', 'TikTok (2022', '2024-2025)', 'Hugo Boss', 'XP (2022-2023)', 'Porto Seguro (2023)', 'Citi (2023-2025)', 'Globe-Trotter (2023-2024)', 'Ava Trade (2023-2024)', 'Girard-Perregaux (2023-2025)', 'Velocity Black (2023)', 'Saudia (2023)', 'Banco Master (2023-2024)', 'NexGen Energy (2023-2025)', 'Valvoline (2023-2025)', 'Regent Seven Seas Cruises (2024-2025)', 'Financial Times (2024-2025)', 'Cognizant (2024-2025)', 'Wolfgang Puck (2024)', ""MA'ADEN (2024-2025)"", 'Glenfiddich (2024-2025)', 'Circle8 (2025)', 'Pepperstone (2025)', 'ServiceNow (2025)', 'Elemis (2025)', 'Atlas Air (2025)', 'Coinbase (2025)', 'Xerox (2025)', 'Puma (2025)', 'Core Weave (2025)', 'Santan Cup (2025)']","For the 2025 Chinese Grand Prix , the team featured a dedication to Eddie Jordan , who died ahead of the Grand Prix weekend. Jordan was the founder of the team's original descent, Jordan Grand Prix .",Aston Martin,,,,,,,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Yellow'],['Black'],,"['Ford', 'Champion', 'Air Press', 'Shell', 'Goodyear']",,ATS,,,['ATS Wheels'],,,,,,,,,,,
"[{'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}]",['Yellow'],"['Black', 'Red']",,"['Goodyear', 'Shell']",,ATS,,,"['ATS Wheels', 'Arawak', 'Hotel Freeport']",,,,,,,,,,,
"[{'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}]",['Yellow'],"['Black', 'Red']",,"['Shell', 'Buler Quartz', 'Goodyear']",,ATS,,,"['ATS Wheels', 'Arawak', 'Hotel Freeport']",,,,,,,,,,,
"[{'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}]",['Yellow'],"['White', 'Black']",,"['ABBA', 'Shell', 'Champion']",,ATS,,,['ATS Wheels'],,,,,,,,,,,
"[{'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",['Yellow'],"['White', 'Black']",,"['Copec', 'Tecfin', 'Liqui Moly', 'Shell', 'Champion']",,ATS,,,['ATS Wheels'],,,,,,,,,,,
